TABREF KURSUS,Update: 16/01/2023,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
JENIS_KURSUS_ID,CEPAT_KODE,NAMA,,META DATA,,,,
8B91B70E3B7A12E5E050640A29034DA5,2902,DIKLAT FUNGSIONAL PENILAI PAJAK,,,,,,
8B91B70E3B7812E5E050640A29034DA5,2900,DIKLAT FUNGSIONAL PENILAI PEMERINTAH,,,,,,
8B91B70E3BA812E5E050640A29034DA5,2948,DIKLAT FUNGSIONAL PENILIK,,,,,,
8B91B70E3B9B12E5E050640A29034DA5,2935,DIKLAT FUNGSIONAL PENYELIDIK BUMI,,,,,,
8B91B70E3C0C12E5E050640A29034DA5,3048,DIKLAT FUNGSIONAL PENYIDIK BNN,,,,,,
8B91B70E3BCB12E5E050640A29034DA5,2983,DIKLAT FUNGSIONAL PENYULUH AGAMA,,,,,,
8B91B70E3B7212E5E050640A29034DA5,2894,DIKLAT FUNGSIONAL PENYULUH HUKUM,,,,,,
8B91B70E3BD612E5E050640A29034DA5,2994,DIKLAT FUNGSIONAL PENYULUH KEHUTANAN,,,,,,
8B91B70E3BF412E5E050640A29034DA5,3024,DIKLAT FUNGSIONAL PENYULUH KELUARGA BERENCANA,,,,,,
8B91B70E3BBB12E5E050640A29034DA5,2967,DIKLAT FUNGSIONAL PENYULUH KESEHATAN MASYARAKAT,,,,,,
8B91B70E3C0B12E5E050640A29034DA5,3047,DIKLAT FUNGSIONAL PENYULUH NARKOBA,,,,,,
8B91B70E3B7912E5E050640A29034DA5,2901,DIKLAT FUNGSIONAL PENYULUH PAJAK,,,,,,
8B91B70E3BDC12E5E050640A29034DA5,3000,DIKLAT FUNGSIONAL PENYULUH PERIKANAN,,,,,,
8B91B70E3B8612E5E050640A29034DA5,2914,DIKLAT FUNGSIONAL PENYULUH PERINDUSTRIAN DAN PERDAGANGAN,,,,,,
8B91B70E3B9012E5E050640A29034DA5,2924,DIKLAT FUNGSIONAL PENYULUH PERTANIAN,,,,,,
8B91B70E3BD312E5E050640A29034DA5,2991,DIKLAT FUNGSIONAL PENYULUH SOSIAL,,,,,,
8B91B70E3B7012E5E050640A29034DA5,2892,DIKLAT FUNGSIONAL PERANCANG PERATURAN PERUNDANG-UNDANGAN,,,,,,
8B91B70E3BBC12E5E050640A29034DA5,2968,DIKLAT FUNGSIONAL PERAWAT,,,,,,
8B91B70E3BBD12E5E050640A29034DA5,2969,DIKLAT FUNGSIONAL PERAWAT GIGI,,,,,,
8B91B70E3BBE12E5E050640A29034DA5,2970,DIKLAT FUNGSIONAL PEREKAM MEDIS,,,,,,
8B91B70E3BF512E5E050640A29034DA5,3025,DIKLAT FUNGSIONAL PEREKAYASA,,,,,,
8B91B70E3C0612E5E050640A29034DA5,3042,DIKLAT FUNGSIONAL PERENCANA,,,,,,
8B91B70E3C0E12E5E050640A29034DA5,3050,DIKLAT FUNGSIONAL PERISALAH LEGISLATIF,,,,,,
8B91B70E3BD712E5E050640A29034DA5,2995,DIKLAT FUNGSIONAL POLISI KEHUTANAN,,,,,,
8B91B70E3B7E12E5E050640A29034DA5,2906,DIKLAT FUNGSIONAL POLISI PAMONG PRAJA (POL PP),,,,,,
8B91B70E3BE912E5E050640A29034DA5,3013,DIKLAT FUNGSIONAL PRANATA HUBUNGAN MASYARAKAT,,,,,,
8B91B70E3B6612E5E050640A29034DA5,2882,DIKLAT FUNGSIONAL PRANATA INFORMASI DIPLOMATIK,,,,,,
8B91B70E3C0412E5E050640A29034DA5,3040,DIKLAT FUNGSIONAL PRANATA KOMPUTER,,,,,,
